frame_key,entropy_normal,entropy_rain
0,7.0126389032810925,7.0415313745056745
1,7.016982044339275,7.0296224145177035
2,7.012274053033242,7.031007667299106
3,7.020423202033943,7.0330874704640785
4,7.0222401724101715,7.0376849849356775
5,7.03198177392077,7.031229302091801
6,7.018237035991029,7.042211237118472
7,7.028916481833754,7.036109544088681
8,7.025055386918598,7.009599271679271
9,7.021542796359598,7.020629680005027
10,7.015725287879801,7.019650114067893
11,7.035190735367995,7.020579374782938
12,7.031384253190111,7.060951385790219
13,7.051418914130603,7.063599829641954
14,7.056691457272073,7.0604913345804485
15,7.041623302680054,7.046668075897169
16,7.035525320508836,7.067880225805652
17,7.038016773309831,7.063710690165127
18,7.038184294012335,7.056122987895951
19,7.043541473690453,7.036368620154158
20,7.044532101814873,7.046889513050058
21,7.044922093193764,7.057313679124195
22,7.040953293450106,7.041826021949192
23,7.05000201648652,7.052164847565997
24,7.042562756274305,7.037797145163764
25,7.039156674917879,7.043568311168702
26,7.037572351941499,7.045491890317159
27,7.019270368667397,7.026693201862465
28,7.031228442624664,7.039678069318458
29,7.024302196428617,6.9995633174781355
30,7.037577731660082,7.02082009907209
31,7.021557371861838,7.006759838995663
32,7.025598376083245,7.023299633413623
33,7.017359555323796,7.021278328297298
34,7.036659344812534,6.992050395192993
35,7.032844951303562,7.027771783164487
36,7.029787263180576,7.018461274095686
37,7.039358821627286,7.0205595288701055
38,7.061873223784709,7.060701875274936
39,7.0559184973250035,7.026444770462098
40,7.032857201099106,7.044705533076455
41,7.014189818292998,7.0254407664228715
42,7.021088653103148,7.0276669865993
43,6.996499877736613,7.000984767944179
44,6.989480247243693,7.004414246422344
45,6.987631814047403,6.997653230470205
46,6.973323916471358,6.995028906843289
47,6.976660640652699,7.0002328665178375
48,6.970656766573899,7.009291450260592
49,6.968245948895331,6.985332704131511
50,6.9772666776588785,6.993053889087648
51,6.99000288145253,6.995584143157219
52,6.987732282530206,6.994852494591612
53,6.990229930272849,7.003451997726839
54,6.990683900111418,7.008727048647724
55,6.982302929262367,7.005234981900113
56,6.991758651973458,7.028523458008993
57,6.99000317210719,6.999932083407278
58,6.995519630263594,7.007222309137137
59,6.990214536569739,6.99324682582181
60,7.004835957519372,7.008060463756489
61,7.012230553887387,7.003608603002753
62,7.007276382312694,7.01168344181074
63,7.024530561606521,7.007975345917647
64,7.015040094210595,7.003282066407586
65,7.0211014150600635,7.018252176115017
66,7.006500194080658,7.007924616057966
67,7.001662552735547,6.99832106348925
68,7.011441052564951,7.012022539562298
69,7.034929010741241,7.020341943651023
70,7.02069244143922,7.005505636845579
71,7.057962087638841,7.033007683295544
72,7.0288813905705965,7.0334590813768045
73,7.02220481777042,7.003893416343396
74,7.008838617612281,7.006674492152075
75,7.0115266484453995,7.014267884500715
76,7.0154053225485535,7.022015604571013
77,7.03147253563512,7.010973347629989
78,7.021433489975276,7.014107368036492
79,7.018275273599535,7.027162038579338
80,7.027293308313655,7.030002409908842
