frame_key,entropy_normal,entropy_rain
0,7.716125569814851,7.892955999766936
1,7.555958828599083,7.579359456033392
2,7.253395351871561,7.3861133096299225
3,7.374047767329648,7.585923702482191
4,7.942861088256091,7.892510911433487
5,7.932027366140105,7.973166882760662
6,7.9202822327833875,7.966597241299228
7,7.7838610258314285,7.623176933649096
8,7.927165061803176,7.753979812073078
9,7.862269165457461,7.704004514230979
10,7.59867240086555,7.674458722577475
11,7.938982391681289,7.986850479147161
12,8.001362778669439,7.948956825133575
13,7.881114706666182,7.8138288268726255
14,7.769916450785627,7.704051086171398
15,7.7750577653473645,7.762321502207046
16,7.688754705733128,7.727327044511769
17,7.650624360023407,7.716334702400569
18,7.6046730092498995,7.721197805111867
19,7.519256328380258,7.7808050375887685
20,7.415948133386039,7.545232109220036
21,7.475739290926533,8.015338418504108
22,7.270298016419619,8.060289642929721
23,7.476274558589437,8.062510683028107
24,7.581219647788097,8.209398552699742
25,7.673322613986872,8.235686930670566
26,7.558987624691172,8.1759976212967
27,7.520685467903878,8.029242179474851
28,7.7686254090097915,8.015860408694786
29,7.757371676154403,8.176486459697259
30,7.886264271301126,8.335383915896136
31,7.91333154512011,7.817143000853067
32,8.116156592170984,7.977616320951909
33,8.245498113597534,7.789080904440857
34,8.02341457694721,7.951194479690537
35,7.832181775041274,8.118992137106003
36,8.154071920663858,7.900830187283588
37,7.926549149574962,7.7096348083244255
38,8.169843913684312,8.028276828990364
39,8.233887039869618,8.068446198005736
40,7.856871730465697,8.161288729642573
41,7.019238324209724,7.208924203889666
42,7.247764256023188,7.170893166647457
43,7.233292115605824,7.348069458519038
44,7.37723799686535,7.089001925734201
45,7.287274056080106,7.102872372027607
46,6.813470659892022,7.121507949178848
47,7.436903840097059,7.594078830200463
48,7.438359172739467,7.387078414601379
49,7.304960218449537,7.416628197345264
50,7.556822962459696,7.850925510444713
51,7.687464360309464,7.807928958544235
52,7.656775418288883,7.247764783299449
53,7.651510698346559,7.256388813316361
54,6.960537840981456,6.839402050517494
55,7.539984916055324,7.3619628461234115
56,7.220556787407919,7.249647867600421
57,7.242964290331617,7.358192448303429
58,6.897069706309527,7.181467942123956
59,6.947371608410101,7.078693505465681
60,7.528620478499271,7.533848483166999
61,7.068184269598479,7.473258117303737
62,7.53975779010316,7.637720701186039
63,7.747440475095103,7.907217332789651
64,7.429269281087839,7.960446267373852
65,7.726606689793989,7.865583318813984
66,7.802756867221708,7.79599648911178
67,7.924122436415052,7.751856305023303
68,7.829293579483968,7.852371246499687
69,8.242096414731467,7.814314308385498
70,8.23645596809066,7.629744634459842
71,7.974061576712235,8.205104948484955
72,8.334209652316455,8.233926983636911
73,8.385784796316639,8.054719246504147
74,8.148030814261093,8.017430855687907
75,8.182185591279913,7.989798272014768
76,7.871826089651775,7.831048766744182
77,8.078566923290875,8.221349758169998
78,7.355203658467406,7.032673769392159
79,7.596847373828799,7.410459238166446
80,7.256385256872944,7.555014213790473
