frame_key,entropy_normal,entropy_rain
0,7.032916954289323,7.029432961847063
1,7.0114835637969755,7.0412794415237565
2,7.015770675321005,7.0248770948509005
3,7.019073994824596,7.0533414346373
4,7.019121157790788,7.044987108310113
5,7.038226040721223,7.058036894006971
6,7.027407298825764,7.0706670148550765
7,7.027400100349937,7.043151779504119
8,7.028427858787654,7.0536280303946315
9,7.031437798346025,7.04809372831889
10,7.041099934929325,7.0377475481409215
11,7.0444868004447345,7.0334056906946
12,7.045607624812621,7.064938677941551
13,7.036605675313269,7.057952236410763
14,7.053945433506921,7.051185473388132
15,7.05346721305705,7.070375932719578
16,7.060476676826831,7.089903745961203
17,7.058590219898563,7.076861895743164
18,7.045206955221135,7.074766116497045
19,7.04813386898335,7.072445839503249
20,7.044749558273,7.074270369095461
21,7.049623483354158,7.0734498259847784
22,7.056477699052457,7.053357493231854
23,7.052029014267233,7.065764877324162
24,7.046380306436151,7.064289330273797
25,7.067008133897694,7.0631650115314
26,7.061394692455913,7.065964400986666
27,7.049001681491979,7.058930439906884
28,7.0614235033756145,7.051601260327646
29,7.049453475532844,7.0561143437341345
30,7.0367362730832665,7.0460394849125825
31,7.024705021756046,7.049040510442396
32,7.029189075423481,7.039610749452969
33,7.011101713958321,7.021353826478079
34,7.0401022845920425,7.0141439341633784
35,7.036512407240841,7.040593934340433
36,7.0338992589955645,7.037407137791525
37,7.027561503852631,7.016469261484471
38,7.06509635608818,7.066632313215816
39,7.05338938215893,7.035003929024135
40,7.020367288548553,7.057607428463126
41,7.028691252859499,7.0490603126526565
42,7.021329072031612,7.055687477078387
43,7.016801983139733,7.033208295775192
44,6.994098128133846,7.037413218202638
45,6.978384777711841,7.017276558756464
46,6.967496202568376,7.004043033239831
47,6.987385139955079,7.031193128763923
48,6.9919641238632595,7.038849109062166
49,6.98366656964915,7.0392885693744836
50,6.971569181766284,7.013130020078571
51,6.972275046576084,7.014643380728676
52,6.980439029301351,7.004321850861743
53,6.990011080664975,7.020422962730986
54,6.99414193008326,7.03347262028896
55,7.00752681401434,7.027261169898945
56,7.0305284070685055,7.041174987845438
57,7.014567887793029,7.025411351104583
58,7.023689338300177,7.027175884259635
59,7.010002820194884,7.011517615468477
60,7.010328615678479,7.033137330164032
61,7.016408704319929,7.0402440522049
62,7.0242334892204275,7.0454128447188245
63,7.039460995716983,7.051286308401321
64,7.033146717217115,7.054400951742182
65,7.045427555630732,7.054626942576225
66,7.024836490217237,7.029343181491395
67,7.04807664065556,7.041803372752344
68,7.034416096126716,7.046214165166135
69,7.037712934287591,7.048416435690574
70,7.036819816827599,7.043013273245791
71,7.05836332119286,7.037811865942774
72,7.028278469593887,7.046162039138643
73,7.0259030744130575,7.040337641614094
74,7.036671118478007,7.04384354808105
75,7.026095578152571,7.048159594773555
76,7.02995675130736,7.047651318300257
77,7.033160058490437,7.022146988581034
78,7.028707199586054,7.045708013437616
79,7.014882787665418,7.0231098909252765
80,7.013491050053165,7.042763755403064
