frame_key,entropy_normal,entropy_rain
0,10.558981492865257,10.52332751932365
1,10.557017386573243,10.522924350773863
2,10.555042720303469,10.521034920549221
3,10.553947940022557,10.545377416506645
4,10.536671682553227,10.549308998711842
5,10.529366117053934,10.546500369024947
6,10.53099098287378,10.546418135682435
7,10.52768036474242,10.545684222028829
8,10.518220358209796,10.539459270727399
9,10.505014515264527,10.527612288726043
10,10.497543071799516,10.524383213866479
11,10.509009848581506,10.5301840456181
12,10.512182130279353,10.52344350957145
13,10.521859677926106,10.532362403933812
14,10.516116417107115,10.528456708181043
15,10.514214435642577,10.49452850480531
16,10.528655915978645,10.481635551944287
17,10.531632511854317,10.484883411553009
18,10.53865042130269,10.498203641388633
19,10.546418720703395,10.516589721137159
20,10.550645008073136,10.544157593544965
21,10.548314907704981,10.553908824396995
22,10.54950507222344,10.556952066543344
23,10.53933882633844,10.549296546602433
24,10.52671374542222,10.546038935143597
25,10.51929371471117,10.540419161403419
26,10.51705663992616,10.53705872664327
27,10.517910511493351,10.539545652494414
28,10.517220317821259,10.537729153268213
29,10.502670007361635,10.529660463233377
30,10.504302283853427,10.534444888165874
31,10.500388010675383,10.530245608013159
32,10.503281759128415,10.532533152230103
33,10.5059401371863,10.529146959442931
34,10.510129460756623,10.534016915485772
35,10.50060796253631,10.529375946012971
36,10.51949855437526,10.541724569960463
37,10.512797292777003,10.539281750117965
38,10.516749324653663,10.536941420884277
39,10.515330545179996,10.540545717355108
40,10.55426675714103,10.554114910201386
41,10.573719165764295,10.574615044991932
42,10.572691326319294,10.576514667169167
43,10.566411031841088,10.573144006852914
44,10.573528694467655,10.575311546714435
45,10.57263519213672,10.573238175287717
46,10.561192707674643,10.568755978969346
47,10.562495694076306,10.567769648457542
48,10.56636612645229,10.550549244565262
49,10.569435306522145,10.547328085927862
50,10.568712196223238,10.544286417752446
51,10.56400750057238,10.553307478202248
52,10.557806017444122,10.550043987617705
53,10.561539066722458,10.561372510801887
54,10.560873433817108,10.563608648967527
55,10.564863036709832,10.566663728619016
56,10.571565246144985,10.568439212109396
57,10.570998694358835,10.568753702032412
58,10.568811010839507,10.57293099587246
59,10.568160092404419,10.570205962674944
60,10.549773751432143,10.563552649748964
61,10.548266484278738,10.562260637885775
62,10.545835980724968,10.559876315919109
63,10.54731902283047,10.559592622004908
64,10.546574651518393,10.55966810108428
65,10.547977460607722,10.560635082838553
66,10.55188716550964,10.564026500600612
67,10.551713788286404,10.563909024955572
68,10.5558725925266,10.562896046222972
69,10.559608630110501,10.565186293373374
70,10.560954232771875,10.570013253641772
71,10.557444140547396,10.563936545935112
72,10.549207679596105,10.560620713424612
73,10.547437170033213,10.556343261739089
74,10.551153385158281,10.552967065636192
75,10.547635506097155,10.549929386830735
76,10.543047335060795,10.548351284689554
77,10.54577167541401,10.544463527739978
78,10.549865624083544,10.53448827850442
79,10.547583298264124,10.533523530292431
80,10.547096683463291,10.516791099444681
